River_huc,Habitat,first_dam,difference,percent_difference
Albemarle-Chowan,134.35981359538,88.61272048855,45.74709310683,34
Altamaha,308.1704827436,197.18831806793,110.98216467567,36
Androscoggin,63.7784377895,0.009129431,63.7693083585,100
Apalachicola,0.122097316,0.020304194,0.101793122,83
Bay of Fundy and Gulf of St. Lawrence (N.S.),290.633657979,270.27809083,20.355567149,7
Cape Breton Island,149.488705682,146.191262504,3.29744317799998,2
Cape Fear,122.82916987032,51.29926445826,71.52990541206,58
Connecticut Coastal,91.30388700208,15.80341333867,75.50047366341,83
East Florida Coastal,15.22238592551,15.22238592551,0,0
Edisto-South Carolina Coastal,122.2955116348,106.96808076785,15.32743086695,13
Estuary,0.026727457,0.026727457,0,0
Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),43.746462998,33.666991029,10.079471969,23
James-Chesapeake Bay,124.10885199019,48.85174874889,75.2571032413,61
Kennebec,89.7912052831,0.167182696,89.6240225871,100
Kissimmee,0.003486945,0.003486945,0,0
Long Island,3.49449945685,2.73733890395,0.7571605529,22
Lower Chesapeake,136.44136670987,65.73602249461,70.70534421526,52
Lower Connecticut,129.15859671412,28.63207673408,100.52651998004,78
Lower Delaware,148.36313298686,85.43150680933,62.93162617753,42
Lower Hudson,79.28945258632,41.95875912725,37.33069345907,47
Lower Pee Dee,249.38543476518,165.42752969467,83.95790507051,34
Lower Susquehanna,287.31178163168,23.2530571102,264.05872452148,92
Maine Coastal,73.29708052255,29.32794445306,43.96913606949,60
Massachusetts-Rhode Island Coastal.,45.74322771298,16.83847918147,28.90474853151,63
Merrimack,60.3270367271,2.7723970345,57.5546396926,95
Neuse,78.92184731738,68.21281610397,10.70903121341,14
Ogeechee,74.32164037574,56.0070906524,18.31454972334,25
Oswego,0.18151161,0.077550659,0.103960951,57
Pamlico,52.58273752586,51.35028138276,1.23245614309999,2
Penobscot,73.64694613941,1.210627456,72.43631868341,98
Potomac,93.01876322222,78.21127063402,14.8074925882,16
Prince Edward Island,23.642840923,23.642840923,0,0
Roanoke,71.30062206131,30.43004314671,40.8705789146,57
Saco,93.04138271745,5.32679202557,87.71459069188,94
Saint John and Southern Bay of Fundy (N.B.),82.184640697,74.950950821,7.233689876,9
Santee,145.87257420379,47.55028658334,98.32228762045,67
Savannah,211.26700342071,98.32629671628,112.94070670443,53
Southeastern Atlantic Ocean (N.S.),163.128810165,140.511852859,22.616957306,14
St. Croix River and southwest Bay of Fundy,13.16830354775,7.5622296992,5.60607384855,43
St. Johns,89.15907001067,86.56980746687,2.5892625438,3
St. Marys-Satilla,44.78391179197,44.09728593497,0.686625856999996,2
Suwannee,0.158401352,0.158401352,0,0
Upper Chesapeake,102.1995094298,81.087367108,21.1121423218,21
Upper Connecticut,0.348750048,0.0030007,0.345749348,99
Upper Delaware,247.94937815469,71.98300926772,175.96636888697,71
Upper Hudson,159.85887777062,86.91490117854,72.94397659208,46
Upper Pee Dee,0.8557072192,0.6644369466,0.1912702726,22
Upper Susquehanna,233.11837761416,0.002926231,233.11545138316,100
West Branch Susquehanna,53.13427005217,36.61419146702,16.52007858515,31
