upstream,downstream,downstream_j,pop,lwr,upr,samp
0,0,DS Juv = 0,872914326.5,660884933.325,1174468636.275,1595
0,0,DS Juv = 0.1,876372803,672587721.35,1110844055.175,1549
0,0,DS Juv = 0.2,894404169.5,657780086.075,1119597992.15,1536
0,0,DS Juv = 0.3,894061453,634977043.575,1152533482.6,1479
0,0,DS Juv = 0.4,912203537,660980497.825,1121032577.375,1476
0,0,DS Juv = 0.5,886350336,625148396.025,1162336741.575,1512
0,0,DS Juv = 0.6,908986846,665649434.075,1175578236.25,1514
0,0,DS Juv = 0.7,902810806.5,663782572.45,1193139108.525,1516
0,0,DS Juv = 0.8,885437948,604384209.425,1161610872.625,1552
0,0,DS Juv = 0.9,887787930.5,635041080.05,1145318526.225,1548
0,0,DS Juv = 1,874792138,637965064.525,1187227632.775,1462
0,0.1,DS Juv = 0,893707580.5,617378375.375,1103996610.45,1528
0,0.1,DS Juv = 0.1,889838584,665810756.225,1175546446.55,1547
0,0.1,DS Juv = 0.2,893316178.5,646573725.25,1179942170.075,1477
0,0.1,DS Juv = 0.3,896863455,628991207.125,1146923076.95,1524
0,0.1,DS Juv = 0.4,913018524.5,629818928.1,1161071560.2,1514
0,0.1,DS Juv = 0.5,903898463,634697144.1,1121204191.5,1465
0,0.1,DS Juv = 0.6,881827309,653145017.725,1185900823.4,1501
0,0.1,DS Juv = 0.7,916687987,674531510.7,1171464955.175,1417
0,0.1,DS Juv = 0.8,906714246,632771345.175,1179244853.125,1448
0,0.1,DS Juv = 0.9,891041206.5,664139297.925,1167825019.35,1536
0,0.1,DS Juv = 1,873624678.5,654182721.5,1166475574.5,1562
0,0.2,DS Juv = 0,905171333.5,624966049.05,1213040009.5,1468
0,0.2,DS Juv = 0.1,898478138,642284673.375,1126647489.125,1493
0,0.2,DS Juv = 0.2,883347459,641621207.025,1111638069.925,1484
0,0.2,DS Juv = 0.3,882406837,653595986.25,1134364177.9,1487
0,0.2,DS Juv = 0.4,880270976,599005608.175,1139528510.25,1571
0,0.2,DS Juv = 0.5,917359158,655167687.575,1179974190.35,1498
0,0.2,DS Juv = 0.6,902313445.5,655620964.975,1150933162.8,1434
0,0.2,DS Juv = 0.7,894966331.5,658000276.775,1173139899.825,1473
0,0.2,DS Juv = 0.8,892139880,632609829.05,1151156060.075,1507
0,0.2,DS Juv = 0.9,898784814.5,627221690.675,1136642736.45,1428
0,0.2,DS Juv = 1,892573356,654400584.675,1194521248.85,1447
0,0.3,DS Juv = 0,892978911,661247065.4,1153084059.725,1543
0,0.3,DS Juv = 0.1,890378875.5,645133947.65,1157651801.05,1464
0,0.3,DS Juv = 0.2,913084152.5,655468812.825,1177596348.55,1460
0,0.3,DS Juv = 0.3,861570248,579504373.025,1118740176.95,1444
