upstream,downstream,downstream_j,region,pop,lwr,upr,samp
0,0,DS Juv = 0,MAT,68051588.803835,47488157.55,88830194.5,561
0,0,DS Juv = 0,NNE,812003071.784681,608735257.55,1075808730.25,878
0,0,DS Juv = 0,SNE,7013663.55458233,4661518.225,9829711.525,156
0,0,DS Juv = 0.1,MAT,68835197.2673861,49039446,90078184.85,536
0,0,DS Juv = 0.1,NNE,807288182.961287,619214325.45,1011687077.525,860
0,0,DS Juv = 0.1,SNE,6733274.59907531,4333949.9,9078792.8,153
0,0,DS Juv = 0.2,MAT,67729129.6565623,48378615,86708356.925,523
0,0,DS Juv = 0.2,NNE,814682162.398493,604889054.875,1023899797.05,860
0,0,DS Juv = 0.2,SNE,6562556.81255793,4512416.2,8989838.175,153
0,0,DS Juv = 0.3,MAT,68469078.0047053,48895706.55,91104309.725,517
0,0,DS Juv = 0.3,NNE,815329154.57567,581005852.05,1052319441.95,824
0,0,DS Juv = 0.3,SNE,6944522.68147318,5075484.975,9109730.925,138
0,0,DS Juv = 0.4,MAT,68794021.0936784,47390834.775,90949481.9,525
0,0,DS Juv = 0.4,NNE,823139119.144312,609181354.925,1020961731.525,821
0,0,DS Juv = 0.4,SNE,6732246.18144696,4408308.125,9121363.95,130
0,0,DS Juv = 0.5,MAT,68400784.4350332,48947315.925,90382001.975,544
0,0,DS Juv = 0.5,NNE,813710308.899517,571766233.425,1062290751.075,834
0,0,DS Juv = 0.5,SNE,6862427.09008564,4434846.675,9663988.525,134
0,0,DS Juv = 0.6,MAT,69356151.8851253,51356030.125,88662129.425,534
0,0,DS Juv = 0.6,NNE,829565917.197722,609408136.65,1077658299.9,843
0,0,DS Juv = 0.6,SNE,7008613.79857071,4885267.3,9257806.925,137
0,0,DS Juv = 0.7,MAT,69122942.9531441,49993950.85,89206309.475,494
0,0,DS Juv = 0.7,NNE,833933704.186648,608927011.775,1095025093.7,876
0,0,DS Juv = 0.7,SNE,6916072.26303321,4861609.825,8907705.35,146
0,0,DS Juv = 0.8,MAT,68011361.0622533,46912473.25,88473230.15,583
0,0,DS Juv = 0.8,NNE,815271077.750153,552398389.075,1063976550.05,840
0,0,DS Juv = 0.8,SNE,7057497.51246377,5073347.1,9161092.425,129
0,0,DS Juv = 0.9,MAT,67545088.1946635,48028729.325,88371933.65,568
0,0,DS Juv = 0.9,NNE,816841527.337575,582439763.15,1047961223.4,852
0,0,DS Juv = 0.9,SNE,6883423.79421031,4572587.575,8985369.175,128
0,0,DS Juv = 1,MAT,67962724.4240049,46595182.725,86346330.3,513
0,0,DS Juv = 1,NNE,817100656.496673,586183589.1,1091687387.85,822
0,0,DS Juv = 1,SNE,6899163.22593838,5186292.7,9193914.625,127
0,0.1,DS Juv = 0,MAT,68246313.82047,50562509.2,86526985.525,564
0,0.1,DS Juv = 0,NNE,807358617.914096,561795962.3,1008784924.825,839
0,0.1,DS Juv = 0,SNE,6888857.94272892,5019903.875,8684700.1,125
0,0.1,DS Juv = 0.1,MAT,67821886.2902625,48767780.525,88910260.45,557
0,0.1,DS Juv = 0.1,NNE,824170011.39317,611972785.525,1077602258.45,856
0,0.1,DS Juv = 0.1,SNE,6913139.09834758,5070190.175,9033927.65,134
0,0.1,DS Juv = 0.2,MAT,68505953.6606976,49659238.75,88651088.575,532
0,0.1,DS Juv = 0.2,NNE,826442997.836994,591998856.9,1082558046.075,831
0,0.1,DS Juv = 0.2,SNE,6710911.88387941,4915629.6,8733035.425,114
0,0.1,DS Juv = 0.3,MAT,68742082.2929361,49071125.15,88787846.025,554
0,0.1,DS Juv = 0.3,NNE,821662268.501564,575055765.125,1049123122.85,843
0,0.1,DS Juv = 0.3,SNE,6799191.19678399,4864316.85,9012108.075,127
0,0.1,DS Juv = 0.4,MAT,68468654.4727488,47703504.85,92086214.375,517
0,0.1,DS Juv = 0.4,NNE,834415545.686126,577666397.95,1058935235.4,859
0,0.1,DS Juv = 0.4,SNE,6957318.92377414,4449025.3,10050110.425,138
0,0.1,DS Juv = 0.5,MAT,68817454.2874008,50178775,87374637.25,518
0,0.1,DS Juv = 0.5,NNE,813043270.468944,579200485.775,1024529931.575,801
0,0.1,DS Juv = 0.5,SNE,7186439.75972092,5317883.325,9299622.675,146
0,0.1,DS Juv = 0.6,MAT,68047936.1247688,47092484.525,92035828.175,552
0,0.1,DS Juv = 0.6,NNE,821691985.946657,601384889.975,1084978591.55,828
0,0.1,DS Juv = 0.6,SNE,6885545.67566644,4667643.225,8886403.675,121
0,0.1,DS Juv = 0.7,MAT,67151103.9064435,45342532.25,88328634.45,501
0,0.1,DS Juv = 0.7,NNE,843942396.050922,624735286.8,1073706170.85,795
0,0.1,DS Juv = 0.7,SNE,6940853.36964281,4453691.65,9430149.875,121
0,0.1,DS Juv = 0.8,MAT,68521446.1129636,46520292.25,88421861.7,495
0,0.1,DS Juv = 0.8,NNE,828284497.786659,581486404.8,1081948619.025,829
0,0.1,DS Juv = 0.8,SNE,6857114.69119968,4764648.125,8874372.4,124
0,0.1,DS Juv = 0.9,MAT,68385565.8919868,49118665.025,90196455.9,562
0,0.1,DS Juv = 0.9,NNE,821109332.107449,610141863.525,1068034225.8,822
0,0.1,DS Juv = 0.9,SNE,6923734.34352142,4878769.375,9594337.65,152
0,0.1,DS Juv = 1,MAT,69296629.9030315,49111946.25,89919212.45,582
0,0.1,DS Juv = 1,NNE,804064523.032009,600309889.025,1067405090.35,828
0,0.1,DS Juv = 1,SNE,6898296.42896825,4760886.225,9151271.7,152
0,0.2,DS Juv = 0,MAT,70022788.4859425,50964263.325,91878522.9,489
0,0.2,DS Juv = 0,NNE,837566360.071052,569194174.925,1112188763.85,861
0,0.2,DS Juv = 0,SNE,6601235.98618012,4807610.8,8972722.75,118
0,0.2,DS Juv = 0.1,MAT,67684941.7086797,45780911.35,90601594.3,540
0,0.2,DS Juv = 0.1,NNE,817877580.244766,592038902.325,1027401795.3,816
0,0.2,DS Juv = 0.1,SNE,6593892.16410674,4464859.7,8644099.525,137
0,0.2,DS Juv = 0.2,MAT,68014561.2588461,50068817.975,86645922.175,534
0,0.2,DS Juv = 0.2,NNE,808480445.605501,586961676.05,1015782125.675,824
0,0.2,DS Juv = 0.2,SNE,6883182.14059934,4590713,9210022.075,126
0,0.2,DS Juv = 0.3,MAT,68979704.1361579,51088756.325,88150341.75,540
0,0.2,DS Juv = 0.3,NNE,810623516.381459,597466124.025,1037163225.2,808
0,0.2,DS Juv = 0.3,SNE,6990207.88932191,5041105.9,9050610.95,139
0,0.2,DS Juv = 0.4,MAT,68415293.4911675,45885189.9,88433122.675,559
0,0.2,DS Juv = 0.4,NNE,810378661.862402,547881535.5,1041850881.7,871
0,0.2,DS Juv = 0.4,SNE,7079081.53474379,5238882.775,9244505.875,141
0,0.2,DS Juv = 0.5,MAT,69484768.3935861,49681255.9,92088157.725,494
0,0.2,DS Juv = 0.5,NNE,837502608.390037,600366440.55,1078424654.725,860
0,0.2,DS Juv = 0.5,SNE,7089041.50650227,5119991.125,9461377.9,144
0,0.2,DS Juv = 0.6,MAT,67445008.0556182,45935184.7,87890263.425,520
0,0.2,DS Juv = 0.6,NNE,828231783.537193,604689836.675,1053275994.55,789
0,0.2,DS Juv = 0.6,SNE,7181458.32066261,4995943.6,9766904.825,125
0,0.2,DS Juv = 0.7,MAT,68238243.9856511,47409675.725,89729692.55,541
0,0.2,DS Juv = 0.7,NNE,833953372.121316,606011492.55,1074675855.15,811
0,0.2,DS Juv = 0.7,SNE,6657426.03787981,4579108.5,8734352.125,121
0,0.2,DS Juv = 0.8,MAT,69184691.1762639,50670749.55,89791871.6,527
0,0.2,DS Juv = 0.8,NNE,809646283.802128,577025980.075,1052156516.425,841
0,0.2,DS Juv = 0.8,SNE,6931597.3535153,4913099.425,9207672.05,139
0,0.2,DS Juv = 0.9,MAT,68330304.4036291,48439643.7,90553074.525,523
0,0.2,DS Juv = 0.9,NNE,814546848.687588,573611554.275,1036610615.425,776
0,0.2,DS Juv = 0.9,SNE,7172402.59781024,5170492.7,9479046.5,129
0,0.2,DS Juv = 1,MAT,68561157.629635,47627804.85,89874679.05,529
0,0.2,DS Juv = 1,NNE,823429958.085623,601705247.75,1095224106.65,816
0,0.2,DS Juv = 1,SNE,7093398.7157444,5067532.075,9422463.15,102
0,0.3,DS Juv = 0,MAT,69063311.7218933,49517317.475,89236565.875,557
0,0.3,DS Juv = 0,NNE,817783111.467856,606834498.125,1054683959.275,843
0,0.3,DS Juv = 0,SNE,6801350.30254826,4895249.8,9163534.575,143
0,0.3,DS Juv = 0.1,MAT,68356271.411593,46560471.475,91937600.325,567
0,0.3,DS Juv = 0.1,NNE,812431429.855728,593995400.675,1056071068.325,772
0,0.3,DS Juv = 0.1,SNE,7124484.46252874,4578075.5,9643132.4,125
0,0.3,DS Juv = 0.2,MAT,69121972.7036784,48327757.9,89739258.275,499
0,0.3,DS Juv = 0.2,NNE,833331453.815085,602441247.075,1078525798.8,838
0,0.3,DS Juv = 0.2,SNE,6865476.7935112,4699807.85,9331291.475,123
0,0.3,DS Juv = 0.3,MAT,69389578.5278166,48460639.85,89993389.425,535
0,0.3,DS Juv = 0.3,NNE,784804596.670066,526201492.3,1020034216.575,785
0,0.3,DS Juv = 0.3,SNE,6924670.51492409,4842240.875,8712570.95,124
0,0.3,DS Juv = 0.4,MAT,67120216.8838147,47308586.625,88002818.975,550
0,0.3,DS Juv = 0.4,NNE,819261533.171108,598316492.55,1065998529.7,868
0,0.3,DS Juv = 0.4,SNE,6730367.79379836,4730218.7,9235715.475,138
0,0.3,DS Juv = 0.5,MAT,68446700.2395487,47722793.275,87885712.2,537
0,0.3,DS Juv = 0.5,NNE,808754690.435317,581056004.7,1048407110.1,802
0,0.3,DS Juv = 0.5,SNE,7009976.33917552,4766762.75,8890665.1,145
0,0.3,DS Juv = 0.6,MAT,67529419.1648436,47471203.75,88976185.9,552
