region,scenario,pop,lwr,upr
CAN-NNE,Current,39875015.3494596,13400126.025,76836273.25
CAN-NNE,No dams,61741192.8880102,19805256.4,119098648.375
CAN-NNE,No passage,38783153.0984977,12609001.775,74215067.825
MAT,Current,37789404.4316058,11654210.375,74168943.75
MAT,No dams,90772932.086792,28790195.45,178932023.025
MAT,No passage,35894425.9512805,11269473.025,69589238.55
MNE,Current,160908.398058252,47308.625,355881.125
MNE,No dams,2168720.0990566,676904.925,4246025.6
MNE,No passage,93184.0869565217,32863.525,189698.2
SAT,Current,37265485.2587334,11572650.625,75142120
SAT,No dams,55724016.5211781,17115148.975,116932451.625
SAT,No passage,35796391.9612386,10827930.575,71423159.525
SNE,Current,446258.676470588,102754.7,980624.825
SNE,No dams,1135050.02525253,290753.25,2491561.55
SNE,No passage,445753.1875,89307.875,858499.8
