upstream,downstream,downstream_j,pop,lwr,upr,samp
0,0,DS Juv = 0,108566195.5,36406388.9,208883187.65,1433
0,0,DS Juv = 0.1,106405401.5,36907201.95,204136474.5,1477
0,0,DS Juv = 0.2,111281990.5,36964915.6,208122858.725,1490
0,0,DS Juv = 0.3,106823904,37582796.875,207392821.1,1475
0,0,DS Juv = 0.4,107256919,36299829.125,206566949.9,1499
0,0,DS Juv = 0.5,110897712,38998034.95,206707749.2,1495
0,0,DS Juv = 0.6,105157256.5,38459689.45,209482614.15,1451
0,0,DS Juv = 0.7,100290979.5,36271503.025,206981939.65,1441
0,0,DS Juv = 0.8,112376098.5,37859992,209135737.65,1469
0,0,DS Juv = 0.9,108859153,36792643.025,212493822.225,1477
0,0,DS Juv = 1,108342176,38086688.425,200662946.875,1485
0,0.1,DS Juv = 0,107396230,34989437.15,209313450.475,1453
0,0.1,DS Juv = 0.1,98812481,37884423.975,198717450,1518
0,0.1,DS Juv = 0.2,106347366.5,36180954.55,203266745.175,1500
0,0.1,DS Juv = 0.3,109924907.5,37728613.35,210134014.95,1500
0,0.1,DS Juv = 0.4,106764566.5,36646389.775,212666589.225,1485
0,0.1,DS Juv = 0.5,103797717,34892559.6,219306317,1452
0,0.1,DS Juv = 0.6,104414304.5,37317562.275,207218563.725,1466
0,0.1,DS Juv = 0.7,110557960,36309402.65,201400140.3,1523
0,0.1,DS Juv = 0.8,101557457.5,36726052.25,203981603.05,1476
0,0.1,DS Juv = 0.9,103819633,37440476.325,206972152.05,1484
0,0.1,DS Juv = 1,112323766.5,39316064.65,211978112.275,1494
0,0.2,DS Juv = 0,106862857,37152905.775,199751444.45,1506
0,0.2,DS Juv = 0.1,107570310,37647495.8,205790518.95,1451
0,0.2,DS Juv = 0.2,113653682.5,37915210.675,208343417.925,1507
0,0.2,DS Juv = 0.3,110102791,37301993.75,209053028.375,1515
0,0.2,DS Juv = 0.4,107288617.5,37962029.4,201775575.925,1480
0,0.2,DS Juv = 0.5,105455225,36789952.95,203968775.525,1460
0,0.2,DS Juv = 0.6,104694965,37598987.55,207774718.2,1525
0,0.2,DS Juv = 0.7,110908396.5,37724244.35,210710402.05,1490
0,0.2,DS Juv = 0.8,111768196.5,38159623.125,206488299.425,1547
0,0.2,DS Juv = 0.9,110646866.5,37915636,209176382.375,1529
0,0.2,DS Juv = 1,104156588.5,38174157,210090562.675,1480
0,0.3,DS Juv = 0,106279103.5,36600649.675,206803192.025,1479
0,0.3,DS Juv = 0.1,111581407.5,36800878.925,212099215.15,1556
0,0.3,DS Juv = 0.2,108931648,37655881.25,207637822.425,1496
0,0.3,DS Juv = 0.3,105226716,37897468.45,204924496.625,1467
0,0.3,DS Juv = 0.4,113175110.5,36197797.1,207024316.85,1552
0,0.3,DS Juv = 0.5,114567297.5,37903699.55,207627271.775,1478
0,0.3,DS Juv = 0.6,111247609.5,36433124,203240883.65,1542
0,0.3,DS Juv = 0.7,103547978,36352949.725,208670840.55,1504
0,0.3,DS Juv = 0.8,107149570,37299003.95,209774124.675,1526
0,0.3,DS Juv = 0.9,108241915,38311614.325,205532056.7,1558
0,0.3,DS Juv = 1,107900880,37286932.95,215680304.225,1480
0,0.4,DS Juv = 0,103890336,36735860.025,202690989.45,1521
0,0.4,DS Juv = 0.1,106340001,37242998.775,205556551.95,1481
0,0.4,DS Juv = 0.2,108775175.5,38549220.725,214387515.575,1593
0,0.4,DS Juv = 0.3,107415716.5,38361780.525,206843602.3,1526
0,0.4,DS Juv = 0.4,109620568.5,36742887.525,202961669.175,1522
0,0.4,DS Juv = 0.5,106945873.5,36503089.45,206609451.075,1515
0,0.4,DS Juv = 0.6,112032199,37809258.875,206604141.85,1514
0,0.4,DS Juv = 0.7,102422066,36868026.775,205134117.8,1477
0,0.4,DS Juv = 0.8,108354102.5,36078394.6,204342577.5,1495
0,0.4,DS Juv = 0.9,106244684.5,36967255.65,205462468.225,1543
0,0.4,DS Juv = 1,111768705,37061716.625,206124367.525,1518
0,0.5,DS Juv = 0,108965808.5,36720602.025,205512043.35,1496
0,0.5,DS Juv = 0.1,106732753,38902365.6,202445250.7,1576
0,0.5,DS Juv = 0.2,108095799.5,35999574.425,203054332.275,1459
0,0.5,DS Juv = 0.3,106894820.5,37373913.75,206180114.15,1511
0,0.5,DS Juv = 0.4,112816898.5,38927999.1,217881793.6,1488
0,0.5,DS Juv = 0.5,108036973.5,37421774.2,212607948.7,1503
0,0.5,DS Juv = 0.6,102932306.5,38255393.475,205677580.375,1447
0,0.5,DS Juv = 0.7,106455308,37067323.925,206189370.375,1532
0,0.5,DS Juv = 0.8,106787019.5,36580663.75,196367557.75,1360
0,0.5,DS Juv = 0.9,110217016,38698363.775,206009365.65,1491
0,0.5,DS Juv = 1,107493202,35412275.075,208853565.775,1498
0,0.6,DS Juv = 0,110451430.5,37387145,211980394.2,1551
0,0.6,DS Juv = 0.1,105977530,37412696.825,209729107.25,1462
0,0.6,DS Juv = 0.2,110257119.5,39291806.4,204836294.625,1460
0,0.6,DS Juv = 0.3,102669168.5,38068623.1,202194768.225,1480
0,0.6,DS Juv = 0.4,104607480,36797958.775,206078307.375,1584
0,0.6,DS Juv = 0.5,114740633,37995501.75,210873631.35,1487
