upstream,downstream,downstream_j,region,pop,lwr,upr,samp
0,0,DS Juv = 0,CAN-NNE,37451345.7877134,13606940.675,72856426,388
0,0,DS Juv = 0,MAT,36141442.0253146,12242732.575,67931250,559
0,0,DS Juv = 0,MNE,118046.428571429,37609.1,183927.7,28
0,0,DS Juv = 0,SAT,35073249.1267795,10401219.45,67183542.825,424
0,0,DS Juv = 0,SNE,405043.852941176,117887.1,728041.125,34
0,0,DS Juv = 0.1,CAN-NNE,38614621.1746505,14302466.475,69886957.35,399
0,0,DS Juv = 0.1,MAT,33441374.5527424,12024437.325,63163690.2,570
0,0,DS Juv = 0.1,MNE,90450.52,39374.2,167329.8,25
0,0,DS Juv = 0.1,SAT,36962846.3085418,10406255.1,70052783.575,455
0,0,DS Juv = 0.1,SNE,437377.964285714,134668.85,865713.575,28
0,0,DS Juv = 0.2,CAN-NNE,38278599.1179938,15081352.025,70055545.425,388
0,0,DS Juv = 0.2,MAT,33796695.5438509,10715194.65,65137877.85,624
0,0,DS Juv = 0.2,MNE,113472.269230769,34507.125,199519.125,26
0,0,DS Juv = 0.2,SAT,37546319.5773986,10986228.75,71957281.525,420
0,0,DS Juv = 0.2,SNE,470996.78125,147633.05,772634.8,32
0,0,DS Juv = 0.3,CAN-NNE,41133169.2603984,13989663.725,73871976.125,399
0,0,DS Juv = 0.3,MAT,35292876.5270556,11937172.5,66724577.825,613
0,0,DS Juv = 0.3,MNE,118935.64516129,33819.75,236553.75,31
0,0,DS Juv = 0.3,SAT,34931408.4603322,11505298.9,65661407.65,402
0,0,DS Juv = 0.3,SNE,497407.4,116842,898305.75,30
0,0,DS Juv = 0.4,CAN-NNE,39485475.6723808,13086330.575,68382652.175,380
0,0,DS Juv = 0.4,MAT,35444045.2713847,12097816.075,66815595.175,646
0,0,DS Juv = 0.4,MNE,103379.625,30522.65,185260.275,32
0,0,DS Juv = 0.4,SAT,34892866.7576695,10944021.825,70421112.075,416
0,0,DS Juv = 0.4,SNE,431853.12,141138,762330.2,25
0,0,DS Juv = 0.5,CAN-NNE,39914804.4735113,14068974.3,72896713.625,389
0,0,DS Juv = 0.5,MAT,35610264.3456112,11809455.675,66189776.325,621
0,0,DS Juv = 0.5,MNE,89181.6666666667,31102.9,179551.4,27
0,0,DS Juv = 0.5,SAT,35862118.334881,12982718.15,66658780,424
0,0,DS Juv = 0.5,SNE,356048.294117647,105783.925,782927.85,34
0,0,DS Juv = 0.6,CAN-NNE,39604836.6171253,13659039.775,77846370.75,409
0,0,DS Juv = 0.6,MAT,35134281.2629169,12378934.875,66527855.225,568
0,0,DS Juv = 0.6,MNE,92763.9655172414,34948,200510.7,29
0,0,DS Juv = 0.6,SAT,34700239.821317,12290843.8,63964531.875,413
